Pop_ID,MapData_Species,TimeSeriesData_Species,Species,MapData_Pop_Name,GEO_FEATUR,Lat,Lon,FAZ,MAZ,JAZ,TimeSeriesData_Pop_Name,Pop_Name,MapData_CU_ID,FWA_WATERSHED_CODE
46240,CO,Co_Fraser,Co,ADAMS RIVER,Stream,50.89386286,-119.5505675,STh,GStr,STh+GStr,Adams R (upr),ADAMS RIVER,CO-08,100-190442-999098-995997-058910-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46238,SEL,Sk_Fraser,Sk,ADAMS RIVER,Stream,50.89386286,-119.5505675,STh,GStr,STh+GStr,"Adams River, lower",ADAMS RIVER,SEL-09-02,100-190442-999098-995997-058910-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46239,SEL,Sk_Fraser,Sk,ADAMS RIVER,Stream,50.89386286,-119.5505675,STh,GStr,STh+GStr,"Adams River, lower",ADAMS RIVER,SEL-09-03,100-190442-999098-995997-058910-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
3393,SEL,Sk_Fraser,Sk,ADAMS RIVER MOUTH-LAKE SHORE,Lake Portion,50.89452793,-119.549924,STh,GStr,STh+GStr,Adams River - shore,ADAMS RIVER MOUTH-LAKE SHORE,SEL-09-03,100-190442-999098-995997-058910-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
60005,CK,Ck_SBC,Ck,ADAMS RIVER SPAWNING CHANNEL,Artificial Channel,51.02684994,-119.6500286,STh,GStr,STh+GStr,,ADAMS RIVER SPAWNING CHANNEL,CK-13,100-190442-999098-995997-058910-091573-667993-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
45082,SEL,Sk_Fraser,Sk,ADAMS RIVER SPAWNING CHANNEL,Artificial Channel,51.02684994,-119.6500286,STh,GStr,STh+GStr,Adams Channel,ADAMS RIVER SPAWNING CHANNEL,SEL-09-02,100-190442-999098-995997-058910-091573-667993-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
45083,SEL,Sk_Fraser,Sk,ADAMS RIVER SPAWNING CHANNEL,Artificial Channel,51.02684994,-119.6500286,STh,GStr,STh+GStr,Adams Channel,ADAMS RIVER SPAWNING CHANNEL,SEL-09-03,100-190442-999098-995997-058910-091573-667993-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46256,CK,Ck_SBC,Ck,ADAMS RIVER-UPPER,Stream segment,51.41089723,-119.45611,STh,GStr,STh+GStr,ADAMS RIVER-UPPER,ADAMS RIVER-UPPER,CK-82,100-190442-999098-995997-058910-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46250,CO,Co_Fraser,Co,ADAMS RIVER-UPPER,Stream segment,51.41089723,-119.45611,STh,GStr,STh+GStr,,ADAMS RIVER-UPPER,CO-08,100-190442-999098-995997-058910-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46249,SEL,Sk_Fraser,Sk,ADAMS RIVER-UPPER,Stream segment,51.41089723,-119.45611,STh,GStr,STh+GStr,"Adams River, upper",ADAMS RIVER-UPPER,SEL-09-03,100-190442-999098-995997-058910-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
47287,CK,Ck_SBC,Ck,AHBAU CREEK,Stream,53.17452978,-122.498461,MFR,GStr,MFR+GStr,AHBAU CREEK,AHBAU CREEK,CK-10,100-478686-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
287,CO,Co_Fraser,Co,AHBAU CREEK,Stream,53.17452978,-122.498461,MFR,GStr,MFR+GStr,,AHBAU CREEK,CO-48,100-478686-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
290,CK,Ck_SBC,Ck,ALBREDA RIVER,Stream,52.47949897,-119.1307005,NTh,GStr,NTh+GStr,ALBREDA RIVER,ALBREDA RIVER,CK-18,100-190442-998192-823461-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46825,CO,Co_Fraser,Co,ALBREDA RIVER,Stream,52.47949897,-119.1307005,NTh,GStr,NTh+GStr,Albreda R,ALBREDA RIVER,CO-09,100-190442-998192-823461-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
47923,CO,Co_Fraser,Co,ALOUETTE RIVER,Stream,49.26454603,-122.7073541,LFR,GStr,LFR+GStr,,ALOUETTE RIVER,CO-47,100-025956-057184-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
47140,CO,Co_Fraser,Co,AMERICAN CREEK,Stream,49.43259386,-121.4376428,FRCany,GStr,FRCany+GStr,,AMERICAN CREEK,CO-05,100-117583-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
44607,CO,Co_Fraser,Co,ANDERSON CREEK CHANNEL,Artificial Channel,49.20465421,-121.7355532,LFR,GStr,LFR+GStr,,ANDERSON CREEK CHANNEL,CO-47,100-088370-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
7727,SEL,Sk_Fraser,Sk,ANDERSON LAKE SHORELINE,Lake Portion,50.54815674,-122.4688024,MFR,GStr,MFR+GStr,Anderson Lake - shore,ANDERSON LAKE SHORELINE,SEL-06-01,100-233886-998537-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
47156,CK,Ck_SBC,Ck,ANDERSON RIVER,Stream,49.84240911,-121.4385973,FRCany,GStr,FRCany+GStr,,ANDERSON RIVER,CK-08,100-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
47153,CO,Co_Fraser,Co,ANDERSON RIVER,Stream,49.84240911,-121.4385973,FRCany,GStr,FRCany+GStr,,ANDERSON RIVER,CO-05,100-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
44608,CO,Co_Fraser,Co,ANGEL-WING CHANNEL,Artificial Channel,49.10099138,-121.6276484,LFR,GStr,LFR+GStr,,ANGEL-WING CHANNEL,CO-47,100-064535-057628-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
45596,SEL,Sk_Fraser,Sk,ANKWILL CREEK,Stream,55.65765912,-126.1917469,MFR,GStr,MFR+GStr,Ankwill Creek,ANKWILL CREEK,SEL-06-14,100-567134-179319-815989-532920-950785-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46350,CO,Co_Fraser,Co,ANSTEY RIVER,Stream,51.13123921,-118.8994306,STh,GStr,STh+GStr,Anstey R,ANSTEY RIVER,CO-08,100-190442-999098-995997-520730-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46348,SEL,Sk_Fraser,Sk,ANSTEY RIVER,Stream,51.13123921,-118.8994306,STh,GStr,STh+GStr,Anstey River,ANSTEY RIVER,SEL-09-02,100-190442-999098-995997-520730-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46349,SEL,Sk_Fraser,Sk,ANSTEY RIVER,Stream,51.13123921,-118.8994306,STh,GStr,STh+GStr,Anstey River,ANSTEY RIVER,SEL-09-03,100-190442-999098-995997-520730-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
3439,SEL,Sk_Fraser,Sk,ANSTEY RIVER-LAKE SHORE,Lake Portion,51.1292683,-118.9053189,STh,GStr,STh+GStr,Anstey River - shore,ANSTEY RIVER-LAKE SHORE,SEL-09-03,100-190442-999098-995997-520730-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
47457,CK,Ck_SBC,Ck,ANTLER CREEK/UFR,Stream,53.25874914,-121.4120166,UFR,GStr,UFR+GStr,ANTLER CREEK,ANTLER CREEK/UFR,CK-12,100-654493-746761-070913-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
47449,SEL,Sk_Fraser,Sk,ANTLER CREEK/UFR,Stream,53.25874914,-121.4120166,UFR,GStr,UFR+GStr,Antler Creek,ANTLER CREEK/UFR,SEL-07-01,100-654493-746761-070913-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
47076,CO,Co_Fraser,Co,ATCHELITZ CREEK,Stream,49.15758184,-121.9920367,LFR,GStr,LFR+GStr,,ATCHELITZ CREEK,CO-47,100-070889-129960-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46743,CO,Co_Fraser,Co,AVOLA CREEK,Stream,51.78038686,-119.3204442,NTh,GStr,NTh+GStr,Avola Cr,AVOLA CREEK,CO-09,100-190442-998192-564929-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
47397,CK,Ck_SBC,Ck,BAD RIVER (JAMES CREEK),Stream,54.29564471,-121.4421157,UFR,GStr,UFR+GStr,BAD RIVER (JAMES CREEK),BAD RIVER (JAMES CREEK),CK-12,100-639480-270767-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
44752,CK,Ck_SBC,Ck,BAEZAEKO RIVER,Stream,53.13432105,-123.6717445,MFR,GStr,MFR+GStr,BAEZAEKO RIVER,BAEZAEKO RIVER,CK-10,100-500560-367242-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
47267,CK,Ck_SBC,Ck,BAKER CREEK/MFR,Stream,52.97282199,-122.5034691,MFR,GStr,MFR+GStr,BAKER CREEK,BAKER CREEK/MFR,CK-10,100-458476-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
69100,CK,Ck_SBC,Ck,BAPTISTE CREEK,Stream,54.89281444,-125.1827216,MFR,GStr,MFR+GStr,,BAPTISTE CREEK,CK-11,100-567134-179319-815989-532920-078692-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
45553,SEL,Sk_Fraser,Sk,BAPTISTE CREEK,Stream,54.89281444,-125.1827216,MFR,GStr,MFR+GStr,Baptiste Creek,BAPTISTE CREEK,SEL-06-14,100-567134-179319-815989-532920-078692-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
7472,CO,Co_Fraser,Co,BARNES CREEK/LFR,Stream,49.19895604,-122.0493093,LFR,GStr,LFR+GStr,,BARNES CREEK/LFR,CO-47,100-070930-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
47012,CO,Co_Fraser,Co,BARRETT CREEK,Stream,49.07526047,-121.8693538,LFR,GStr,LFR+GStr,,BARRETT CREEK,CO-47,100-064535-057628-225327-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46608,CK,Ck_SBC,Ck,BARRIERE RIVER,Stream,51.17371372,-120.1387374,NTh,GStr,NTh+GStr,BARRIERE RIVER,BARRIERE RIVER,CK-19,100-190442-998192-185576-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46602,CO,Co_Fraser,Co,BARRIERE RIVER,Stream,51.17371372,-120.1387374,NTh,GStr,NTh+GStr,Barriere R,BARRIERE RIVER,CO-09,100-190442-998192-185576-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46600,SEL,Sk_Fraser,Sk,BARRIERE RIVER,Stream,51.17371372,-120.1387374,NTh,GStr,NTh+GStr,Barriere River,BARRIERE RIVER,SEL-10-01,100-190442-998192-185576-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
45597,SEL,Sk_Fraser,Sk,BATES CREEK,Stream,55.70797199,-126.2384174,MFR,GStr,MFR+GStr,Bates Creek,BATES CREEK,SEL-06-14,100-567134-179319-815989-532920-997351-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
3363,SEL,Sk_Fraser,Sk,BAXTER BEACH,Lake Portion,52.72205643,-120.8599504,MFR,GStr,MFR+GStr,Baxter Beach,BAXTER BEACH,SEL-06-10,100-458399-741437-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
3364,SEL,Sk_Fraser,Sk,BEAR BEACH-LAKE SHORE,Lake Portion,52.72205643,-120.8599504,MFR,GStr,MFR+GStr,Bear Beach - Shore,BEAR BEACH-LAKE SHORE,SEL-06-10,100-458399-741437-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
69063,CK,Ck_SBC,Ck,BEECE CREEK,Stream,51.36496872,-123.6202173,MFR,GStr,MFR+GStr,,BEECE CREEK,CK-10,100-342455-328500-134035-621844-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
48042,CO,Co_Fraser,Co,BELCHARTON CREEK,Stream,49.21624661,-122.2514548,LFR,GStr,LFR+GStr,,BELCHARTON CREEK,CO-47,100-057528-869526-256636-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46548,CK,Ck_SBC,Ck,BESSETTE CREEK,Stream,50.3065408,-118.8231096,STh,GStr,STh+GStr,BESSETTE CREEK,BESSETTE CREEK,CK-16,100-190442-999098-995997-730848-543292-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46542,CO,Co_Fraser,Co,BESSETTE CREEK,Stream,50.3065408,-118.8231096,STh,GStr,STh+GStr,Bessette Cr,BESSETTE CREEK,CO-08,100-190442-999098-995997-730848-543292-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
431,SEL,Sk_Fraser,Sk,BESSETTE CREEK,Stream,50.3065408,-118.8231096,STh,GStr,STh+GStr,Bessette Creek,BESSETTE CREEK,SEL-09-03,100-190442-999098-995997-730848-543292-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
7635,SEL,Sk_Fraser,Sk,BESSETTE CREEK,Stream,50.3065408,-118.8231096,STh,GStr,STh+GStr,Bessette Creek,BESSETTE CREEK,SEL-09-03,100-190442-999098-995997-730848-543292-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
3365,SEL,Sk_Fraser,Sk,BETTY FRANK'S-LAKE SHORE,Lake Portion,52.72205643,-120.8599504,MFR,GStr,MFR+GStr,Betty Frank's - Shore,BETTY FRANK'S-LAKE SHORE,SEL-06-10,100-458399-741437-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
69059,CK,Ck_SBC,Ck,BIG CREEK/MFR,Stream,51.85148257,-122.6904237,MFR,GStr,MFR+GStr,,BIG CREEK/MFR,CK-10,100-342455-095384-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46076,CK,Ck_SBC,Ck,BIG SILVER CREEK,Stream,49.57559391,-121.8286997,LFR,GStr,LFR+GStr,BIG SILVER CREEK,BIG SILVER CREEK,CK-06,100-077501-616023-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46073,CO,Co_Fraser,Co,BIG SILVER CREEK,Stream,49.57559391,-121.8286997,LFR,GStr,LFR+GStr,,BIG SILVER CREEK,CO-47,100-077501-616023-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46072,SEL,Sk_Fraser,Sk,BIG SILVER CREEK,Stream,49.57559391,-121.8286997,LFR,GStr,LFR+GStr,Big Silver Creek,BIG SILVER CREEK,SEL-03-03,100-077501-616023-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
3342,SEL,Sk_Fraser,Sk,BIG SLIDE-LAKE SHORE,Lake Portion,52.60429232,-120.4943988,MFR,GStr,MFR+GStr,Big Slide - Shore,BIG SLIDE-LAKE SHORE,SEL-06-10,100-458399-951331-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
3343,SEL,Sk_Fraser,Sk,BIG SLIDE-LAKE SHORE-1KM W,Lake Portion,52.520373,-120.938721,MFR,GStr,MFR+GStr,"Big Slide, 1 km. West - shore",BIG SLIDE-LAKE SHORE-1KM W,SEL-06-10,100-458399-782402-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
45070,SEL,Sk_Fraser,Sk,BILL MINER CREEK,Stream,52.58170111,-120.5620894,MFR,GStr,MFR+GStr,Bill Miner Creek,BILL MINER CREEK,SEL-06-10,100-458399-928132-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
3344,SEL,Sk_Fraser,Sk,BILL MINER CREEK-LAKE SHORE,Lake Portion,52.58192397,-120.5569187,MFR,GStr,MFR+GStr,Bill Miner Cr. - Shore,BILL MINER CREEK-LAKE SHORE,SEL-06-10,100-458399-928132-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
3345,SEL,Sk_Fraser,Sk,BILL MINER CREEK-LAKE SHORE-3KM W,Lake Portion,52.57279818,-120.6088624,MFR,GStr,MFR+GStr,Bill Miner Cr. - Shore 3 km west,BILL MINER CREEK-LAKE SHORE-3KM W,SEL-06-10,100-458399-909412-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
69032,CO,Co_Fraser,Co,BIRCH ISLAND CHANNEL,Stream segment,51.5874266,-119.8714811,NTh,GStr,NTh+GStr,Birch Island Channel,BIRCH ISLAND CHANNEL,CO-09,100-190442-998192-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46101,CK,Ck_SBC,Ck,BIRKENHEAD RIVER,Stream,50.30644079,-122.6070114,LILL,GStr,LILL+GStr,BIRKENHEAD RIVER,BIRKENHEAD RIVER,CK-04,100-077501-955583-415280-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46099,CO,Co_Fraser,Co,BIRKENHEAD RIVER,Stream,50.30644079,-122.6070114,LILL,GStr,LILL+GStr,,BIRKENHEAD RIVER,CO-04,100-077501-955583-415280-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46098,SEL,Sk_Fraser,Sk,BIRKENHEAD RIVER,Stream,50.30644079,-122.6070114,LILL,GStr,LILL+GStr,Birkenhead River,BIRKENHEAD RIVER,SEL-04-01,100-077501-955583-415280-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
45574,SEL,Sk_Fraser,Sk,BIVOUAC CREEK,Stream,55.0754856,-125.5692534,MFR,GStr,MFR+GStr,Bivouac Creek,BIVOUAC CREEK,SEL-06-14,100-567134-179319-815989-532920-341598-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
45600,SEL,Sk_Fraser,Sk,BLACKWATER CREEK/MFR,Stream,55.72520515,-126.3064001,MFR,GStr,MFR+GStr,Blackwater Creek,BLACKWATER CREEK/MFR,SEL-06-14,100-567134-179319-815989-532920-992397-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
45589,SEL,Sk_Fraser,Sk,BLANCHETTE CREEK,Stream,55.2760195,-125.7515479,MFR,GStr,MFR+GStr,Blanchet Creek,BLANCHETTE CREEK,SEL-06-14,100-567134-179319-815989-532920-554656-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
47931,CO,Co_Fraser,Co,BLANEY CREEK,Stream,49.27141497,-122.6455464,LFR,GStr,LFR+GStr,,BLANEY CREEK,CO-47,100-025956-057184-074570-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
69058,CK,Ck_SBC,Ck,BLUE CREEK/LFR,Stream,49.71314298,-122.717736,LFR,GStr,LFR+GStr,,BLUE CREEK/LFR,CK-05,100-025956-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
45073,SEL,Sk_Fraser,Sk,BLUE LEAD CREEK,Stream,52.61570352,-120.3838655,MFR,GStr,MFR+GStr,Blue Lead Creek,BLUE LEAD CREEK,SEL-06-10,100-458399-988239-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
3346,SEL,Sk_Fraser,Sk,BLUE LEAD CREEK-LAKE SHORE,Lake Portion,52.615223,-120.3815241,MFR,GStr,MFR+GStr,Blue Lead Cr. - Shore,BLUE LEAD CREEK-LAKE SHORE,SEL-06-10,100-458399-988239-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46801,CK,Ck_SBC,Ck,BLUE RIVER,Stream,52.10461061,-119.2796415,NTh,GStr,NTh+GStr,BLUE RIVER,BLUE RIVER,CK-18,100-190442-998192-678593-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46795,CO,Co_Fraser,Co,BLUE RIVER,Stream,52.10461061,-119.2796415,NTh,GStr,NTh+GStr,Blue R,BLUE RIVER,CO-09,100-190442-998192-678593-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
7632,SEL,Sk_Fraser,Sk,BLUEBERRY CREEK,Stream,51.19719511,-119.0184758,STh,GStr,STh+GStr,Blueberry Creek,BLUEBERRY CREEK,SEL-09-02,100-190442-999098-995997-492682-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46461,CO,Co_Fraser,Co,BLURTON CREEK,Stream,50.68893864,-119.0527944,STh,GStr,STh+GStr,Blurton Cr,BLURTON CREEK,CO-08,100-190442-999098-995997-730848-094096-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
7643,SEL,Sk_Fraser,Sk,BLURTON CREEK,Stream,50.68893864,-119.0527944,STh,GStr,STh+GStr,Blurton Creek,BLURTON CREEK,SEL-09-03,100-190442-999098-995997-730848-094096-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46411,CO,Co_Fraser,Co,BOLEAN CREEK,Stream,50.49884109,-119.5614753,STh,GStr,STh+GStr,,BOLEAN CREEK,CO-08,100-190442-999098-995997-990301-431572-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46206,CK,Ck_SBC,Ck,BONAPARTE RIVER,Stream,50.73957155,-121.2600159,LTh,GStr,LTh+GStr,BONAPARTE RIVER,BONAPARTE RIVER,CK-17,100-190442-506118-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46200,CO,Co_Fraser,Co,BONAPARTE RIVER,Stream,50.73957155,-121.2600159,LTh,GStr,LTh+GStr,Bonaparte R,BONAPARTE RIVER,CO-07,100-190442-506118-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
61787,CO,Co_Fraser,Co,BOOTH CREEK,Stream,49.23388438,-122.8543246,LFR,GStr,LFR+GStr,,BOOTH CREEK,CO-47,100-021505-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
