"","Species","Pop_ID","Pop_Name","CU_ID","lat","lon","FAZ","MAZ","JAZ","FWA_WATERSHED_CODE","Pop_UID"
"CK-06.46068","Ck","46068","COGBURN CREEK","CK-06",49.53455563,-121.7638652,"LFR","GStr","LFR+GStr","100-077501-550992-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-06.46068"
"CK-06.46087","Ck","46087","DOUGLAS CREEK/LILL","CK-06",49.76361308,-122.1547819,"LILL","GStr","LILL+GStr","100-077501-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-06.46087"
"CK-06.44538","Ck","44538","LILLOOET RIVER","CK-06",49.7483959,-122.1526912,"LILL","GStr","LILL+GStr","100-077501-955583-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-06.44538"
"CK-06.46967","Ck","46967","LILLOOET RIVER-LOWER","CK-06",49.74741205,-122.1500543,"LILL","GStr","LILL+GStr","100-077501-955583-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-06.46967"
"CK-06.46029","Ck","46029","LILLOOET RIVER-UPPER","CK-06",50.30287519,-122.6340291,"LILL","GStr","LILL+GStr","100-077501-955583-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-06.46029"
"CK-06.46097","Ck","46097","SLOQUET CREEK","CK-06",49.76499948,-122.2029894,"LILL","GStr","LILL+GStr","100-077501-955583-030689-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-06.46097"
"CK-06.46082","Ck","46082","TIPELLA CREEK","CK-06",49.74315616,-122.1508804,"LFR","GStr","LFR+GStr","100-077501-955583-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-06.46082"
"CK-07.47096","Ck","47096","MARIA SLOUGH","CK-07",49.22791876,-121.733305,"LFR","GStr","LFR+GStr","100-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-07.47096"
"CK-08.47156","Ck","47156","ANDERSON RIVER","CK-08",49.84240911,-121.4385973,"FRCany","GStr","FRCany+GStr","100-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-08.47156"
"CK-08.47165","Ck","47165","NAHATLATCH RIVER","CK-08",49.9779149,-121.5120321,"FRCany","GStr","FRCany+GStr","100-168517-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-08.47165"
"CK-09.47189","Ck","47189","PORTAGE CREEK","CK-09",50.70803014,-122.2700586,"MFR","GStr","MFR+GStr","100-233886-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-09.47189"
"CK-10.47287","Ck","47287","AHBAU CREEK","CK-10",53.17452978,-122.498461,"MFR","GStr","MFR+GStr","100-478686-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.47287"
"CK-10.44752","Ck","44752","BAEZAEKO RIVER","CK-10",53.13432105,-123.6717445,"MFR","GStr","MFR+GStr","100-500560-367242-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.44752"
"CK-10.47267","Ck","47267","BAKER CREEK/MFR","CK-10",52.97282199,-122.5034691,"MFR","GStr","MFR+GStr","100-458476-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.47267"
"CK-10.69063","Ck","69063","BEECE CREEK","CK-10",51.36496872,-123.6202173,"MFR","GStr","MFR+GStr","100-342455-328500-134035-621844-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.69063"
"CK-10.69059","Ck","69059","BIG CREEK/MFR","CK-10",51.85148257,-122.6904237,"MFR","GStr","MFR+GStr","100-342455-095384-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.69059"
"CK-10.47229","Ck","47229","BRIDGE RIVER","CK-10",50.75029671,-121.9322715,"MFR","GStr","MFR+GStr","100-239855-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.47229"
"CK-10.46892","Ck","46892","CARIBOO RIVER-UPPER","CK-10",52.82540899,-121.2758869,"MFR","GStr","MFR+GStr","100-458399-466616-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.46892"
"CK-10.46011","Ck","46011","CHILAKO RIVER","CK-10",53.88615191,-122.9775951,"MFR","GStr","MFR+GStr","100-567134-069486-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.46011"
"CK-10.46842","Ck","46842","CHILCOTIN RIVER-LOWER","CK-10",51.74039967,-122.4023235,"MFR","GStr","MFR+GStr","100-342455-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.46842"
"CK-10.46841","Ck","46841","CHILCOTIN RIVER-UPPER","CK-10",52.33929599,-124.028396,"MFR","GStr","MFR+GStr","100-342455-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.46841"
"CK-10.47238","Ck","47238","CHURN CREEK","CK-10",51.51922229,-122.2842198,"MFR","GStr","MFR+GStr","100-321833-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.47238"
"CK-10.69108","Ck","69108","CLISBAKO RIVER","CK-10",52.81142886,-123.543029,"MFR","GStr","MFR+GStr","100-500560-326229-359826-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.69108"
"CK-10.69069","Ck","69069","COGLISTIKO RIVER","CK-10",53.00701156,-123.8067125,"MFR","GStr","MFR+GStr","100-500560-367242-244970-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.69069"
"CK-10.45599","Ck","45599","DRIFTWOOD RIVER","CK-10",55.69931908,-126.2513263,"MFR","GStr","MFR+GStr","100-567134-179319-815989-532920-992397-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.45599"
"CK-10.45510","Ck","45510","ENDAKO RIVER","CK-10",54.04983464,-124.9040503,"MFR","GStr","MFR+GStr","100-567134-374775-948201-023010-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.45510"
"CK-10.69068","Ck","69068","EUCHINIKO RIVER","CK-10",53.24677214,-123.5027628,"MFR","GStr","MFR+GStr","100-500560-248839-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.69068"
"CK-10.69061","Ck","69061","FYFE CREEK","CK-10",53.757227,-122.8292523,"MFR","GStr","MFR+GStr","100-567134-069486-073215-551504-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.69061"
"CK-10.46901","Ck","46901","HORSEFLY RIVER","CK-10",52.46540443,-121.3887587,"MFR","GStr","MFR+GStr","100-458399-638146-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.46901"
"CK-10.47297","Ck","47297","LIGHTNING CREEK","CK-10",53.01676744,-122.1120626,"MFR","GStr","MFR+GStr","100-478686-388281-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.47297"
"CK-10.69060","Ck","69060","LITTLE RIVER/MFR","CK-10",52.81847873,-121.2811569,"MFR","GStr","MFR+GStr","100-458399-466616-271448-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.69060"
"CK-10.69065","Ck","69065","LORD RIVER","CK-10",51.15501196,-123.5548363,"MFR","GStr","MFR+GStr","100-342455-328500-134035-773523-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.69065"
"CK-10.45051","Ck","45051","MCKINLEY CREEK","CK-10",52.28894348,-121.0693469,"MFR","GStr","MFR+GStr","100-458399-638146-468647-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.45051"
"CK-10.69095","Ck","69095","MINTON CREEK","CK-10",51.9424695,-123.1502649,"MFR","GStr","MFR+GStr","100-342455-222463-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.69095"
"CK-10.69062","Ck","69062","NADINA RIVER","CK-10",53.97855095,-126.5030467,"MFR","GStr","MFR+GStr","100-567134-374775-948201-997745-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.69062"
"CK-10.47257","Ck","47257","NARCOSLI CREEK","CK-10",52.82161216,-122.4614972,"MFR","GStr","MFR+GStr","100-444782-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.47257"
"CK-10.47307","Ck","47307","NAVER CREEK","CK-10",53.43189236,-122.6573591,"MFR","GStr","MFR+GStr","100-520500-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.47307"
"CK-10.44762","Ck","44762","NAZKO RIVER","CK-10",53.12659824,-123.5667422,"MFR","GStr","MFR+GStr","100-500560-326229-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.44762"
"CK-10.69109","Ck","69109","SAKENICHE RIVER","CK-10",55.15260373,-125.7709187,"MFR","GStr","MFR+GStr","100-567134-179319-815989-532920-446288-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.69109"
"CK-10.45520","Ck","45520","SHOVEL CREEK","CK-10",54.13876638,-125.2880668,"MFR","GStr","MFR+GStr","100-567134-374775-948201-023010-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.45520"
"CK-10.69077","Ck","69077","SNAKING RIVER","CK-10",53.05444127,-123.5725521,"MFR","GStr","MFR+GStr","100-500560-326229-082511-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.69077"
"CK-10.69096","Ck","69096","SOWCHEA CREEK","CK-10",54.42671741,-124.4045295,"MFR","GStr","MFR+GStr","100-567134-179319-630270-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.69096"
"CK-10.47175","Ck","47175","STEIN RIVER","CK-10",50.28873332,-121.6300932,"MFR","GStr","MFR+GStr","100-195373-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.47175"
"CK-10.69088","Ck","69088","STONE CREEK","CK-10",53.63612953,-122.6675685,"MFR","GStr","MFR+GStr","100-540788-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.69088"
"CK-10.2483","Ck","2483","SWIFT RIVER/MFR","CK-10",53.11916698,-122.6106377,"MFR","GStr","MFR+GStr","100-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.2483"
"CK-10.47277","Ck","47277","SWIFT RIVER/MFR","CK-10",53.11916698,-122.6106377,"MFR","GStr","MFR+GStr","100-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.47277"
"CK-10.47278","Ck","47278","SWIFT RIVER/MFR","CK-10",53.11916698,-122.6106377,"MFR","GStr","MFR+GStr","100-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.47278"
"CK-10.46861","Ck","46861","TASEKO LAKE","CK-10",51.34893023,-123.619087,"MFR","GStr","MFR+GStr","100-342455-328500-134035-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.46861"
"CK-10.69066","Ck","69066","TASEKO RIVER-UPPER","CK-10",51.15793684,-123.5380964,"MFR","GStr","MFR+GStr","100-342455-328500-134035-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.69066"
"CK-10.69064","Ck","69064","TCHAIKAZAN RIVER","CK-10",51.20677955,-123.5957961,"MFR","GStr","MFR+GStr","100-342455-328500-134035-732951-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.69064"
"CK-10.69089","Ck","69089","VICTORIA CREEK","CK-10",52.93494955,-122.0522058,"MFR","GStr","MFR+GStr","100-478686-480938-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.69089"
"CK-10.45991","Ck","45991","WEST ROAD (BLACKWATER) RIVER","CK-10",53.30965387,-122.8760445,"MFR","GStr","MFR+GStr","100-500560-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.45991"
"CK-10.47234","Ck","47234","YALAKOM RIVER","CK-10",50.86386746,-122.1719442,"MFR","GStr","MFR+GStr","100-239855-151124-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.47234"
"CK-10.69067","Ck","69067","YOHETTA CREEK","CK-10",51.22050453,-123.6383393,"MFR","GStr","MFR+GStr","100-342455-328500-134035-732951-111430-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-10.69067"
"CK-11.69100","Ck","69100","BAPTISTE CREEK","CK-11",54.89281444,-125.1827216,"MFR","GStr","MFR+GStr","100-567134-179319-815989-532920-078692-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.69100"
"CK-11.46891","Ck","46891","CARIBOO RIVER","CK-11",52.66265253,-121.6759592,"MFR","GStr","MFR+GStr","100-458399-466616-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.46891"
"CK-11.46851","Ck","46851","CHILKO RIVER","CK-11",52.09590138,-123.4604675,"MFR","GStr","MFR+GStr","100-342455-328500-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.46851"
"CK-11.69101","Ck","69101","DOG CREEK","CK-11",51.58246006,-122.2933706,"MFR","GStr","MFR+GStr","100-327243-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.69101"
"CK-11.46871","Ck","46871","ELKIN CREEK","CK-11",51.68588715,-123.7224791,"MFR","GStr","MFR+GStr","100-342455-328500-134035-287985-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.46871"
"CK-11.45567","Ck","45567","KAZCHEK CREEK","CK-11",54.88523164,-125.1694657,"MFR","GStr","MFR+GStr","100-567134-179319-815989-532920-067591-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.45567"
"CK-11.1416","Ck","1416","KUZKWA RIVER","CK-11",54.78768682,-124.8772439,"MFR","GStr","MFR+GStr","100-567134-179319-815989-290384-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.1416"
"CK-11.45555","Ck","45555","KUZKWA RIVER","CK-11",54.78768682,-124.8772439,"MFR","GStr","MFR+GStr","100-567134-179319-815989-290384-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.45555"
"CK-11.69102","Ck","69102","LEO CREEK","CK-11",55.08709828,-125.5833288,"MFR","GStr","MFR+GStr","100-567134-179319-815989-532920-352419-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.69102"
"CK-11.44564","Ck","44564","MIDDLE RIVER","CK-11",54.86607079,-125.1183878,"MFR","GStr","MFR+GStr","100-567134-179319-815989-532920-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.44564"
"CK-11.1756","Ck","1756","MITCHELL RIVER","CK-11",52.77875315,-120.8037479,"MFR","GStr","MFR+GStr","100-458399-740856-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.1756"
"CK-11.69103","Ck","69103","NANCUT CREEK","CK-11",54.59869158,-125.0755096,"MFR","GStr","MFR+GStr","100-567134-179319-911828-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.69103"
"CK-11.69104","Ck","69104","NATAZUTLO CREEK","CK-11",55.00398754,-125.3859491,"MFR","GStr","MFR+GStr","100-567134-179319-815989-532920-225746-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.69104"
"CK-11.46001","Ck","46001","NECHAKO RIVER","CK-11",53.91835665,-122.7152103,"MFR","GStr","MFR+GStr","100-567134-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.46001"
"CK-11.69105","Ck","69105","NECOSLIE RIVER","CK-11",54.42740323,-124.2644545,"MFR","GStr","MFR+GStr","100-567134-179319-589350-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.69105"
"CK-11.46024","Ck","46024","ORMOND CREEK","CK-11",54.08838763,-124.7490804,"MFR","GStr","MFR+GStr","100-567134-374775-507094-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.46024"
"CK-11.45547","Ck","45547","PINCHI CREEK","CK-11",54.56409055,-124.4892837,"MFR","GStr","MFR+GStr","100-567134-179319-710832-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.45547"
"CK-11.69106","Ck","69106","PITKA CREEK","CK-11",54.42547116,-124.3251736,"MFR","GStr","MFR+GStr","100-567134-179319-612053-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.69106"
"CK-11.46881","Ck","46881","QUESNEL RIVER","CK-11",52.97121342,-122.4960236,"MFR","GStr","MFR+GStr","100-458399-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.46881"
"CK-11.47199","Ck","47199","SETON AND CAYOOSH CREEKS","CK-11",50.66816976,-121.9730513,"MFR","GStr","MFR+GStr","100-233886-073722-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.47199"
"CK-11.2178","Ck","2178","SETON RIVER","CK-11",50.68129511,-121.9270209,"MFR","GStr","MFR+GStr","100-233886-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.2178"
"CK-11.46021","Ck","46021","STELLAKO RIVER","CK-11",54.05564097,-124.8844677,"MFR","GStr","MFR+GStr","100-567134-374775-948201-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.46021"
"CK-11.45535","Ck","45535","STUART RIVER","CK-11",53.98885075,-123.5409355,"MFR","GStr","MFR+GStr","100-567134-179319-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.45535"
"CK-11.45550","Ck","45550","TACHIE RIVER","CK-11",54.65782103,-124.7720688,"MFR","GStr","MFR+GStr","100-567134-179319-815989-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.45550"
"CK-11.2507","Ck","2507","TASEKO RIVER","CK-11",52.00672961,-123.6769982,"MFR","GStr","MFR+GStr","100-342455-328500-134035-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-11.2507"
"CK-12.47457","Ck","47457","ANTLER CREEK/UFR","CK-12",53.25874914,-121.4120166,"UFR","GStr","UFR+GStr","100-654493-746761-070913-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-12.47457"
"CK-12.47397","Ck","47397","BAD RIVER (JAMES CREEK)","CK-12",54.29564471,-121.4421157,"UFR","GStr","UFR+GStr","100-639480-270767-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-12.47397"
"CK-12.47427","Ck","47427","BOWRON RIVER","CK-12",54.05689106,-121.8230933,"UFR","GStr","UFR+GStr","100-654493-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-12.47427"
"CK-12.47387","Ck","47387","CAPTAIN CREEK","CK-12",54.28237462,-121.4569694,"UFR","GStr","UFR+GStr","100-639480-270767-022412-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-12.47387"
"CK-12.47487","Ck","47487","DOME CREEK","CK-12",53.75402241,-121.0234992,"UFR","GStr","UFR+GStr","100-735802-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-12.47487"
"CK-12.125","Ck","125","DRISCOLL CREEK","CK-12",53.86613167,-121.4299399,"UFR","GStr","UFR+GStr","100-696400-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-12.125"
"CK-12.926","Ck","926","EAST TWIN CREEK","CK-12",53.45691339,-120.410057,"UFR","GStr","UFR+GStr","100-805395-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-12.926"
"CK-12.47407","Ck","47407","FONTONIKO CREEK","CK-12",54.36338919,-121.3453685,"UFR","GStr","UFR+GStr","100-639480-270767-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-12.47407"
"CK-12.44961","Ck","44961","FORGETMENOT CREEK","CK-12",53.68811588,-120.4350646,"UFR","GStr","UFR+GStr","100-772352-308489-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-12.44961"
"CK-12.44549","Ck","44549","FRASER RIVER-ABOVE TETE JAUNE","CK-12",52.97134562,-119.4508333,"UFR","GStr","UFR+GStr","100-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-12.44549"
"CK-12.47538","Ck","47538","GOAT RIVER/UFR","CK-12",53.53227334,-120.5602763,"UFR","GStr","UFR+GStr","100-790283-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-12.47538"
"CK-12.47437","Ck","47437","HAGGEN CREEK","CK-12",53.57654718,-121.627161,"UFR","GStr","UFR+GStr","100-654493-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-12.47437"
"CK-12.47377","Ck","47377","HERRICK CREEK","CK-12",54.26984653,-121.4801543,"UFR","GStr","UFR+GStr","100-639480-270767-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-12.47377"
"CK-12.1207","Ck","1207","HOLLIDAY CREEK","CK-12",53.16389242,-119.9194851,"UFR","GStr","UFR+GStr","100-862175-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-12.1207"
