SPECIES,POP_ID,Nobs,SITE_NAME,GEO_FEATUR,YLAT,XLONG,FAZ_ACRO,MAZ_ACRO,JAZ_ACRO,CU_INDEX,CU_NAME,CU_Acro,CU_Mapname,CU_TYPE,FWA_WATERSHED_CODE,distance,feature_x,feature_y
CK,46068,8,COGBURN CREEK,Stream,49.53455563,-121.7638652,LFR,GStr,LFR+GStr,CK-06,Lower Fraser River_SU_1.3,LFR-summer,CK-Lower Fraser River-SU-1.x,Current,100-077501-550992-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,17.4480619434707,1306626.75091933,511206.593246115
CK,46087,15,DOUGLAS CREEK/LILL,Stream,49.76361308,-122.1547819,LILL,GStr,LILL+GStr,CK-06,Lower Fraser River_SU_1.3,LFR-summer,CK-Lower Fraser River-SU-1.x,Current,100-077501-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,120.260000767705,1276977.50395126,535019.311529762
CK,44538,13,LILLOOET RIVER,Stream,49.7483959,-122.1526912,LILL,GStr,LILL+GStr,CK-06,Lower Fraser River_SU_1.3,LFR-summer,CK-Lower Fraser River-SU-1.x,Current,100-077501-955583-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,42.4464525961586,1277219.86322289,533337.966482961
CK,46967,6,LILLOOET RIVER-LOWER,Stream segment,49.74741205,-122.1500543,LILL,GStr,LILL+GStr,CK-06,Lower Fraser River_SU_1.3,LFR-summer,CK-Lower Fraser River-SU-1.x,Current,100-077501-955583-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,8.37674251438768,1277415.62554937,533239.063023598
CK,46029,10,LILLOOET RIVER-UPPER,Stream segment,50.30287519,-122.6340291,LILL,GStr,LILL+GStr,CK-06,Lower Fraser River_SU_1.3,LFR-summer,CK-Lower Fraser River-SU-1.x,Current,100-077501-955583-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,15.8225782011191,1239633.37977613,593177.314334272
CK,46097,14,SLOQUET CREEK,Stream,49.76499948,-122.2029894,LILL,GStr,LILL+GStr,CK-06,Lower Fraser River_SU_1.3,LFR-summer,CK-Lower Fraser River-SU-1.x,Current,100-077501-955583-030689-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,23.9001357549788,1273500.12416591,534985.814198336
CK,46082,2,TIPELLA CREEK,Stream,49.74315616,-122.1508804,LFR,GStr,LFR+GStr,CK-06,Lower Fraser River_SU_1.3,LFR-summer,CK-Lower Fraser River-SU-1.x,Current,100-077501-955583-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,9.28444770516038,1277381.87495453,532763.312517488
CK,47096,58,MARIA SLOUGH,Slough,49.22791876,-121.733305,LFR,GStr,LFR+GStr,CK-07,Maria Slough_SU_0.3,Maria,CK-Lower Fraser River-Maria Slough-SU-0.3,VREQ[Current],100-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,20.2583641984562,1310888.75319353,477324.281594548
CK,47156,2,ANDERSON RIVER,Stream,49.84240911,-121.4385973,FRCany,GStr,FRCany+GStr,CK-08,Middle Fraser-Fraser Canyon_SP_1.3,FRCanyon,CK-Fraser Canyon-Nahatlatch-SP-1.3,Current,100-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,33.5890267396043,1327935.49993104,546825.937638044
CK,47165,54,NAHATLATCH RIVER,Stream,49.9779149,-121.5120321,FRCany,GStr,FRCany+GStr,CK-08,Middle Fraser-Fraser Canyon_SP_1.3,FRCanyon,CK-Fraser Canyon-Nahatlatch-SP-1.3,Current,100-168517-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,9.44882370620133,1321708.37311949,561528.5618216
CK,47189,61,PORTAGE CREEK,Stream segment,50.70803014,-122.2700586,MFR,GStr,MFR+GStr,CK-09,Middle Fraser River-Portage_FA_1.3,Portage,CK-Middle Fraser River-Portage-FA-1.x,Current,100-233886-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,11.0594601726615,1263147.83281972,639507.620896134
CK,47287,6,AHBAU CREEK,Stream,53.17452978,-122.498461,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-478686-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,32.2781266075183,1233454.75025755,913271.501768589
CK,44752,17,BAEZAEKO RIVER,Stream,53.13432105,-123.6717445,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-500560-367242-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,61.7569666540767,1155412.3757383,905566.627376383
CK,47267,17,BAKER CREEK/MFR,Stream,52.97282199,-122.5034691,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-458476-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,9.06868538266016,1234232.12607274,890779.563326317
CK,69063,-99,BEECE CREEK,Stream,51.36496872,-123.6202173,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-342455-328500-134035-621844-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,4.67973799332975,1165481.00313274,708518.437903161
CK,69059,-99,BIG CREEK/MFR,Stream,51.85148257,-122.6904237,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-342455-095384-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,8.03402033805154,1227561.13678085,765272.078144217
CK,47229,40,BRIDGE RIVER,Stream,50.75029671,-121.9322715,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-239855-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,11.0161646179472,1286683.37561805,645517.874055711
CK,46892,12,CARIBOO RIVER-UPPER,Stream segment,52.82540899,-121.2758869,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-458399-466616-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,4.36130161757846,1317458.00293662,879146.188084958
CK,46011,58,CHILAKO RIVER,Stream,53.88615191,-122.9775951,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-567134-069486-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,6.88639396242241,1198141.62474127,991134.937946039
CK,46842,41,CHILCOTIN RIVER-LOWER,Stream segment,51.74039967,-122.4023235,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-342455-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,51.6972552447282,1247982.99792066,753873.625611822
CK,46841,45,CHILCOTIN RIVER-UPPER,Stream segment,52.33929599,-124.028396,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-342455-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,68.5219987761731,1134081.75124235,816202.687704576
CK,47238,1,CHURN CREEK,Stream,51.51922229,-122.2842198,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-321833-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,38.815274213029,1257409.50002892,729680.438120967
CK,69108,-99,CLISBAKO RIVER,Stream,52.81142886,-123.543029,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-500560-326229-359826-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,5.52031845990804,1165250.75271112,869858.436590188
CK,69069,-99,COGLISTIKO RIVER,Stream,53.00701156,-123.8067125,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-500560-367242-244970-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,14.9058299179591,1146846.12211639,891082.876462949
CK,45599,8,DRIFTWOOD RIVER,Stream,55.69931908,-126.2513263,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-567134-179319-815989-532920-992397-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,23.9829849892391,984237.185562252,1189317.12603945
CK,45510,54,ENDAKO RIVER,Stream,54.04983464,-124.9040503,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-567134-374775-948201-023010-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,12.1549924483416,1071583.99643173,1005726.68886615
CK,69068,-99,EUCHINIKO RIVER,Stream,53.24677214,-123.5027628,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-500560-248839-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,3.31614169478406,1166244.99894231,918489.314961708
CK,69061,-99,FYFE CREEK,Stream,53.757227,-122.8292523,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-567134-069486-073215-551504-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,15.6015749288464,1208504.49664456,977186.625704662
CK,46901,65,HORSEFLY RIVER,Stream,52.46540443,-121.3887587,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-458399-638146-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,0.98090660969691,1312497.50083731,838579.377050966
CK,47297,18,LIGHTNING CREEK,Stream,53.01676744,-122.1120626,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-478686-388281-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,16.3492655195898,1260158.24649904,897042.06450999
CK,69060,-99,LITTLE RIVER/MFR,Stream,52.81847873,-121.2811569,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-458399-466616-271448-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,4.92867996697743,1317155.87735636,878351.251151097
CK,69065,-99,LORD RIVER,Stream,51.15501196,-123.5548363,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-342455-328500-134035-773523-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,16.9695143323314,1170833.24955791,685298.750520373
CK,45051,10,MCKINLEY CREEK,Stream,52.28894348,-121.0693469,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-458399-638146-468647-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,34.6138066411713,1335479.12885996,820408.69020511
CK,69095,-99,MINTON CREEK,Stream,51.9424695,-123.1502649,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-342455-222463-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,25.2641961103134,1195553.50168479,774030.250750708
CK,69062,-99,NADINA RIVER,Stream,53.97855095,-126.5030467,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-567134-374775-948201-997745-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,0.0738163412042727,967084.997964657,997333.690095916
CK,47257,19,NARCOSLI CREEK,Stream,52.82161216,-122.4614972,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-444782-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,27.8856348015599,1237884.25249455,874072.8762988
CK,47307,19,NAVER CREEK,Stream,53.43189236,-122.6573591,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-520500-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,30.1668634641883,1221513.37535686,941442.750236118
CK,44762,16,NAZKO RIVER,Stream,53.12659824,-123.5667422,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-500560-326229-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,9.67886247936169,1162448.24705017,904941.250111254
CK,69109,-99,SAKENICHE RIVER,Stream,55.15260373,-125.7709187,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-567134-179319-815989-532920-446288-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,42.8783497370883,1014565.12192445,1128287.62727903
CK,45520,2,SHOVEL CREEK,Stream,54.13876638,-125.2880668,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-567134-374775-948201-023010-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,72.4412612333503,1046402.49849942,1015331.62461467
CK,69077,-99,SNAKING RIVER,Stream,53.05444127,-123.5725521,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-500560-326229-082511-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,17.337630693598,1162336.50224984,896882.62625153
CK,69096,-99,SOWCHEA CREEK,Stream,54.42671741,-124.4045295,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-567134-179319-630270-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,19.5117599952514,1103258.49557998,1048401.81442083
CK,47175,4,STEIN RIVER,Stream,50.28873332,-121.6300932,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-195373-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,69.4278896246034,1311123.247722,595511.375080646
CK,69088,-99,STONE CREEK,Stream,53.63612953,-122.6675685,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-540788-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,41.0770398732352,1219764.87798205,964176.000757569
CK,2483,19,SWIFT RIVER/MFR,Stream,53.11916698,-122.6106377,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,120.317703192492,1226277.12196823,906737.939495306
CK,47277,65,SWIFT RIVER/MFR,Stream,53.11916698,-122.6106377,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,120.317703192492,1226277.12196823,906737.939495306
CK,47278,1,SWIFT RIVER/MFR,Stream,53.11916698,-122.6106377,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,120.317703192492,1226277.12196823,906737.939495306
CK,46861,41,TASEKO LAKE,Lake,51.34893023,-123.619087,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-342455-328500-134035-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,205.505259025971,1165619.65435373,706735.270220204
CK,69066,-99,TASEKO RIVER-UPPER,Stream segment,51.15793684,-123.5380964,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-342455-328500-134035-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,44.5490588085177,1171990.99815178,685664.875601694
CK,69064,-99,TCHAIKAZAN RIVER,Stream,51.20677955,-123.5957961,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-342455-328500-134035-732951-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,29.3566070657236,1167776.87675229,690963.688401254
CK,69089,-99,VICTORIA CREEK,Stream,52.93494955,-122.0522058,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-478686-480938-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,35.8900170956952,1264668.12297065,888150.688694254
CK,45991,53,WEST ROAD (BLACKWATER) RIVER,Stream,53.30965387,-122.8760445,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-500560-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,88.1415442052924,1207632.74672937,927154.812309961
CK,47234,29,YALAKOM RIVER,Stream,50.86386746,-122.1719442,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-239855-151124-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,5.4070878116287,1269125.37349777,657202.500176331
CK,69067,-99,YOHETTA CREEK,Stream,51.22050453,-123.6383393,MFR,GStr,MFR+GStr,CK-10,Middle Fraser River_SP_1.3,MFR-spring,CK-Middle Fraser River-SP-x.x,Current,100-342455-328500-134035-732951-111430-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,12.5572900098496,1164758.12572844,692391.750673485
CK,69100,-99,BAPTISTE CREEK,Stream,54.89281444,-125.1827216,MFR,GStr,MFR+GStr,CK-11,Middle Fraser River_SU_1.3,MFR-summer,CK-Middle Fraser River-SU-x.x,Current,100-567134-179319-815989-532920-078692-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,8.03137248433085,1052296.7510647,1099566.99925889
CK,46891,41,CARIBOO RIVER,Stream,52.66265253,-121.6759592,MFR,GStr,MFR+GStr,CK-11,Middle Fraser River_SU_1.3,MFR-summer,CK-Middle Fraser River-SU-x.x,Current,100-458399-466616-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,0.0430636175894247,1291716.49864425,859308.126872936
CK,46851,65,CHILKO RIVER,Stream,52.09590138,-123.4604675,MFR,GStr,MFR+GStr,CK-11,Middle Fraser River_SU_1.3,MFR-summer,CK-Middle Fraser River-SU-x.x,Current,100-342455-328500-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,27.9329517864055,1173663.12766596,790313.186818035
CK,69101,-99,DOG CREEK,Stream,51.58246006,-122.2933706,MFR,GStr,MFR+GStr,CK-11,Middle Fraser River_SU_1.3,MFR-summer,CK-Middle Fraser River-SU-x.x,Current,100-327243-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,8.97908691470107,1256407.37420057,736684.125182666
CK,46871,32,ELKIN CREEK,Stream,51.68588715,-123.7224791,MFR,GStr,MFR+GStr,CK-11,Middle Fraser River_SU_1.3,MFR-summer,CK-Middle Fraser River-SU-x.x,Current,100-342455-328500-134035-287985-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,23.3311961577127,1157222.3741048,744024.998271319
CK,45567,26,KAZCHEK CREEK,Stream,54.88523164,-125.1694657,MFR,GStr,MFR+GStr,CK-11,Middle Fraser River_SU_1.3,MFR-summer,CK-Middle Fraser River-SU-x.x,Current,100-567134-179319-815989-532920-067591-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,2.39611887591473,1053154.87312372,1098730.50156473
CK,1416,2,KUZKWA RIVER,Stream,54.78768682,-124.8772439,MFR,GStr,MFR+GStr,CK-11,Middle Fraser River_SU_1.3,MFR-summer,CK-Middle Fraser River-SU-x.x,Current,100-567134-179319-815989-290384-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,15.8759186145613,1072028.62503426,1088101.50011184
CK,45555,49,KUZKWA RIVER,Stream,54.78768682,-124.8772439,MFR,GStr,MFR+GStr,CK-11,Middle Fraser River_SU_1.3,MFR-summer,CK-Middle Fraser River-SU-x.x,Current,100-567134-179319-815989-290384-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,15.8759186145613,1072028.62503426,1088101.50011184
